Metrics,Revolution Wind,CVOW C,Kitty Hawk North,Marwin,Momentum Wind,Future Development,US Wind,Park City,Commonwealth,New England,Empire Wind 1,Empire Wind 2,Atlantic Shores South 1,Atlantic Shores South 2,Mayflower Wind 1
Annual OpEx per kW ($/kW),72.23520465989984,32.111641835438455,56.33367757780806,137.8211311947212,83.95026786461518,104.78041691643118,48.16440930932523,69.7936481230492,54.580545524121376,39.318535557781274,65.90456354539643,48.9374827818573,41.70340904018292,62.23024808929092,71.47001639991237
Energy Availability (%),0.9488981049936984,0.949770323339086,0.9415500838921752,0.905267687800314,0.9074085361124202,0.9099763287154427,0.9272035990583841,0.9444913652974941,0.9440089101133119,0.9419894310933205,0.9586570204182221,0.9539203521117081,0.9361838190136831,0.945159968219311,0.9190311095202955
Gross Capacity Factor (%),0.5270694879247245,0.4259231747210991,0.45877102085403165,0.48668167088571207,0.35468671458714457,0.36107319857486625,0.3484912993929096,0.5242122899544727,0.5101256106657875,0.5162526001131912,0.38120829870064515,0.4098311587307261,0.4012465370959006,0.41033496876524617,0.5237046426169198
Net Capacity Factor Without Unmodeled Losses (%),0.5001214147083567,0.4045249956892868,0.43185527074829344,0.4404251331434358,0.3217729923389751,0.3285493229990956,0.3231242959284961,0.4950569158389199,0.48149136341890575,0.4863335766101377,0.36528343334377994,0.39085281152436213,0.37560763415110887,0.38756220197375657,0.4814031673042305
Annual Losses (MWh),606843.7286378272,1481028.2291651473,660500.2949472095,262140.26787268085,494586.40828980476,342957.5349669299,902719.669109767,572136.3405389417,871418.7335800364,1464088.748824877,383786.820285085,670233.8156400082,1176141.0010461474,537005.182461028,995970.4436229459
AEP (MWh),3408581.8558027665,8376751.905090687,3502249.0062016724,1081860.3671784662,2070740.9914454392,1461364.4405446646,4321626.908684001,3104419.0663097533,4709884.811737375,7804980.65496833,2323232.1237828527,3910753.4914969467,5999907.981317067,2916448.9473472866,4513522.100625364
AEP per kW (MWh/kW),3.9224187063322975,3.173012085261624,3.383815464929152,3.4344773561221147,2.5099890805399263,2.5637972641134468,2.5272671980608195,3.880523832887192,3.773946163251102,3.811025710433755,2.868187807139324,3.0672576403897622,2.941131363390719,3.037967653486757,3.7612684171878032
Net Capacity Factor With All Losses (%),0.4474144659158927,0.3619326782171754,0.3859781686628891,0.3917569660548648,0.28630432088025337,0.29244200314160707,0.288275165989199,0.442635686843472,0.4304788023523256,0.43470831659882797,0.32716260347371867,0.34986969565128906,0.33548298044151914,0.34652870509723643,0.4290327030425459
LCOE ($/MWh),69.54395824648832,64.40362443015881,76.3350543375707,99.62946561157064,105.87871819713196,116.79591594923366,88.99085992228507,70.15406459479401,65.6839891325233,60.73328708547767,87.26852501345967,74.78588570656432,73.26330349110494,87.23370176319368,74.7688406302138
IRR (%),0.005596845477454426,0.004895469652145934,0.0036444377910329617,0.0055247377139477916,-0.0014421532447854712,-0.0006039938031228154,0.002080925232030184,0.0034901902045660904,0.003113798292091907,0.004003276645526022,0.0018992492734652977,0.005391845622271463,0.00042778915558394637,-0.0011870403005025398,0.0029996430904122295
