Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
44,44,1020,OSS3,1020,turbine,39.30185747,-74.05766309,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581251.4921,4350698.143,2599.567784,6485.03283,1.1576566051033828,0
45,45,1019,OSS3,1019,turbine,39.30022101,-74.07037618,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580157.1737,4350505.185,1505.249337,6292.07503,1.1576596413920666,0
46,46,1018,OSS3,1018,turbine,39.29858315,-74.0830887,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579062.8554,4350312.227,410.931012,6099.11711,1.1576620519001632,0
47,47,1023,OSS3,1023,turbine,39.30675849,-74.01952044,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584534.4473,4351277.017,5882.522913,7063.9064,0.726014958790652,0
48,48,1042,OSS3,1042,turbine,39.32028233,-74.04591291,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582243.0777,4352753.556,3591.153354,8540.44626,2.7720984665780257,0
49,49,1041,OSS3,1041,turbine,39.3186472,-74.05862959,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581148.7594,4352560.599,2496.835038,8347.48833,1.1576559247544174,0
50,50,1040,OSS3,1040,turbine,39.31701067,-74.0713457,9.0,3.0,9.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580054.441,4352367.641,1402.516605,8154.53051,1.15765832333341,0
51,51,1039,OSS3,1039,turbine,39.31537274,-74.08406125,9.0,4.0,9.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578960.1226,4352174.683,308.198248,7961.57265,1.15766161130047,0
52,52,1043,OSS3,1043,turbine,39.32191606,-74.03319566,10.0,0.0,10.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583337.3961,4352946.514,4685.471714,8733.40409,2.475365500254583,0
53,53,1058,OSS3,1058,turbine,39.33870586,-74.03415648,10.0,1.0,10.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583234.6633,4354808.97,4582.73896,10595.85959,1.917488709955613,0
