Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
68,BD42,OSS1,BD42,turbine,-70.36976758,40.85456991,12.0,3.0,12.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4523516.009,3704.002841,20372.00468,1.9488988672962777,0
69,BE43,OSS1,BE43,turbine,-70.34746301,40.83814962,13.0,0.0,13.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4521664.009,5556.002833,18520.00468,4.236221637535564,0
70,BE42,OSS1,BE42,turbine,-70.36942413,40.83789098,13.0,1.0,13.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4521664.009,3704.002808,18520.00462,1.948900119964522,0
71,BE41,OSS1,BE41,turbine,-70.39138497,40.83762816,13.0,2.0,13.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4521664.009,1852.002809,18520.00468,1.9488911262241573,0
72,BF40,OSS1,BF40,turbine,-70.41299139,40.82068245,13.0,3.0,13.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0028,4519812.004,1.2e-05,16667.99996,2.719435111910614,0
73,BF42,OSS1,BF42,turbine,-70.36908101,40.82121196,14.0,0.0,14.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4519812.004,3703.999979,16667.99991,6.771546190740756,0
74,BF41,OSS1,BF41,turbine,-70.39103635,40.82094929,14.0,1.0,14.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4519812.004,1851.999997,16667.99991,1.94889281457012,0
75,BG40,OSS1,BG40,turbine,-70.4126375,40.80400377,14.0,2.0,14.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4517960.009,0.002847,14816.00464,2.719429394627656,0
76,BG41,OSS1,BG41,turbine,-70.39068795,40.80427046,15.0,0.0,15.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4517960.009,1852.002823,14816.00469,9.353179133001705,0
77,BH40,OSS1,BH40,turbine,-70.41228394,40.787325,15.0,1.0,15.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4516108.009,0.002854,12964.00468,2.719440248451272,0
78,BJ40,OSS1,BJ40,turbine,-70.41193067,40.77064618,15.0,2.0,15.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4514256.009,0.002784,11112.00471,1.9560186926808243,0
79,BK40,OSS1,BK40,turbine,-70.4115777,40.75396731,15.0,3.0,15.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4512404.009,0.002779,9260.00462,1.9560239663576755,0
80,OSS1,OSS1,OSS1,substation,-70.30386685,40.85533374,,,,,0.0,offshore_substation_core_wind.yaml,export_core_wind.yaml,390102.0056,4523516.009,9260.00279,20372.0047,0.0,0
