Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
49,49,49,1029,OSS1,1029,turbine,39.29891673,-74.2111854,4.0,3.0,4.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,568016.9389,4350245.104,3180.222391,16887.93462,1.917523072294295,0
52,52,52,959,OSS2,959,turbine,39.24657501,-74.09287626,4.0,3.0,4.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578276.7352,4344531.903,13440.0187,11174.73322,1.9175181542224429,0
51,51,51,1028,OSS1,1028,turbine,39.29726345,-74.22389467,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,566922.6204,4350052.146,2085.903954,16694.97676,1.1576716884572578,0
54,54,54,960,OSS2,960,turbine,39.24821407,-74.08017337,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579371.0536,4344724.861,14534.33707,11367.691,2.696136906040904,0
53,53,53,1027,OSS1,1027,turbine,39.29560879,-74.23660336,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,565828.3021,4349859.189,991.585617,16502.0189,1.9175238366388512,0
55,55,55,961,OSS2,961,turbine,39.24985173,-74.06746991,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580465.372,4344917.819,15628.65547,11560.64892,1.917518920302218,0
56,56,56,962,OSS2,962,turbine,39.251488,-74.05476588,4.0,6.0,4.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581559.6904,4345110.776,16722.97388,11753.60678,2.333325222637391,0
57,57,57,963,OSS2,963,turbine,39.25312288,-74.0420613,4.0,7.0,4.0,7.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582654.0088,4345303.734,17817.29227,11946.56461,1.1576664538141994,0
58,58,58,964,OSS2,964,turbine,39.25475636,-74.02935615,4.0,8.0,4.0,8.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583748.3271,4345496.692,18911.61063,12139.52242,1.1576638059374411,0
59,59,59,1012,OSS1,1012,turbine,39.28872669,-74.1593519,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572496.9451,4349154.48,7660.228609,15797.31044,3.57366790046471,0
60,60,60,925,OSS2,925,turbine,39.21135519,-74.10362491,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577387.8824,4340614.034,12551.1659,7256.86421,1.9175197603371408,0
61,61,61,1011,OSS1,1011,turbine,39.28707907,-74.17206044,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571402.6267,4348961.522,6565.910216,15604.3527,1.157668238185224,0
62,62,62,915,OSS2,915,turbine,39.20111808,-74.0518721,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581867.8886,4339523.41,17031.17215,6166.24018,1.1576658310359993,0
63,63,63,989,OSS1,989,turbine,39.27028991,-74.17106714,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571505.3595,4347099.067,6668.642973,13741.89711,1.917505578774608,0
64,64,64,916,OSS2,916,turbine,39.20275276,-74.03917655,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582962.207,4339716.368,18125.49052,6359.19801,1.1576648347036629,0
65,65,65,988,OSS1,988,turbine,39.26864096,-74.18377208,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570411.0411,4346906.109,5574.324601,13548.93925,1.1576674536400986,0
66,66,66,917,OSS2,917,turbine,39.20438606,-74.02648045,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584056.5253,4339909.326,19219.80882,6552.15589,2.060013506876633,0
67,67,67,987,OSS1,987,turbine,39.26699062,-74.19647646,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569316.7227,4346713.151,4480.006203,13355.98139,1.1576840808093385,0
68,68,68,918,OSS2,918,turbine,39.20601796,-74.01378378,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585150.8437,4340102.283,20314.12722,6745.11373,1.157685666921572,0
69,69,69,986,OSS1,986,turbine,39.26533889,-74.20918026,5.0,5.0,5.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,568222.4044,4346520.193,3385.68788,13163.0235,1.157688992481114,0
70,70,70,1033,OSS1,1033,turbine,39.30551588,-74.1603426,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572394.2123,4351016.936,7557.495858,17659.76605,3.891677566671111,0
71,71,71,942,OSS2,942,turbine,39.22978528,-74.09190224,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578379.4679,4342669.447,13542.75146,9312.2777,1.1576849453219662,0
72,72,72,1048,OSS1,1048,turbine,39.32230501,-74.16133369,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572291.4796,4352879.391,7454.763099,19522.22159,1.1576873521656277,0
73,73,73,943,OSS2,943,turbine,39.23142427,-74.07920236,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579473.7863,4342862.405,14637.06985,9505.23548,0.6031752108830887,0
74,74,74,1047,OSS1,1047,turbine,39.32065724,-74.17404827,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571197.1612,4352686.433,6360.44471,19329.2637,1.1576830021722848,0
75,75,75,930,OSS2,930,turbine,39.21954285,-74.04013776,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582859.4742,4341578.823,18022.75771,8221.65353,1.1576854667905958,0
76,76,76,1046,OSS1,1046,turbine,39.31900808,-74.18676229,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570102.8429,4352493.476,5266.126393,19136.30587,1.917560143671371,0
77,77,77,931,OSS2,931,turbine,39.22117621,-74.02743864,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583953.7926,4341771.781,19117.07608,8414.61136,1.157684203051087,0
78,78,78,1060,OSS1,1060,turbine,39.33744625,-74.1750428,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571094.4285,4354548.889,6257.711971,21191.71922,0.6032268026654576,0
79,79,79,932,OSS2,932,turbine,39.22280817,-74.01473896,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585048.111,4341964.739,20211.39449,8607.56926,6.740557579326888,0
80,80,80,933,OSS2,933,turbine,39.22443875,-74.00203873,6.0,5.0,6.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,586142.4293,4342157.697,21305.71285,8800.52712,1.1576633131179648,0
81,81,81,1061,OSS1,1061,turbine,39.33909409,-74.16232518,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572188.7469,4354741.847,7352.030381,21384.67706,1.157660208160185,0
82,82,82,940,OSS2,940,turbine,39.22650313,-74.1173003,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576190.8312,4342283.532,11354.11471,8926.36196,1.1576573259922092,0
83,83,83,1074,OSS1,1074,turbine,39.35588311,-74.16331708,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572086.0141,4356604.302,7249.297577,23247.13257,1.1576553337274271,0
84,84,84,941,OSS2,941,turbine,39.2281449,-74.10460156,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577285.1496,4342476.49,12448.43308,9119.31983,1.1576515008011856,0
