Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
37,BP39,OSS2,BP39,turbine,-70.43207974,40.68698151,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0028,4504996.004,16668.0,9260.0,1.948867087101119,0
38,BG47,OSS1,BG47,turbine,-70.25898471,40.80578288,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0028,4517960.004,31484.0,22224.0,2.719098886132236,0
39,BN39,OSS2,BN39,turbine,-70.43243695,40.70366047,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4506848.009,16668.0028,11112.005,1.948865218559361,0
40,BH47,OSS1,BH47,turbine,-70.25866954,40.78910311,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4516108.009,31484.0028,20372.005,1.9560148026580204,0
41,BM39,OSS2,BM39,turbine,-70.43279454,40.72033929,3.0,5.0,3.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0028,4508700.004,16668.0,12964.0,1.948836604898163,0
42,BH46,OSS1,BH46,turbine,-70.28061532,40.78886157,3.0,5.0,3.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4516108.004,29632.0,20372.0,1.9488258420976217,0
43,BR36,OSS2,BR36,turbine,-70.49706438,40.65279029,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4501292.004,11112.0,5556.0,1.948814466069226,0
44,BE45,OSS1,BE45,turbine,-70.30353992,40.83865437,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4521664.009,27780.0028,25928.005,1.948804183750764,0
45,BR37,OSS2,BR37,turbine,-70.47516524,40.65307223,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4501292.009,12964.0028,5556.005,2.719353912545939,0
46,BF45,OSS1,BF45,turbine,-70.30321326,40.82197494,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4519812.009,27780.0028,24076.005,4.2457113669233575,0
47,BS38,OSS2,BS38,turbine,-70.45290405,40.63667101,4.0,2.0,4.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4499440.004,14816.0,3704.0,1.955999060979732,0
48,BG45,OSS1,BG45,turbine,-70.30288687,40.80529547,4.0,2.0,4.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4517960.009,27780.0028,22224.005,2.719418034989072,0
49,BR38,OSS2,BR38,turbine,-70.45326585,40.65334993,4.0,3.0,4.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4501292.005,14816.0,5556.001,2.71941422332381,0
50,BH45,OSS1,BH45,turbine,-70.30256076,40.78861594,4.0,3.0,4.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4516108.009,27780.0028,20372.005,2.719432364968821,0
