Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
44,44,BQ31,OSS2,BQ31,turbine,-70.60695542,40.66799622,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,364174.0029,4503144.004,1852.000027,7407.99998,1.948804183750764,0
45,45,BR30,OSS2,BR30,turbine,-70.62845232,40.65101175,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,362322.0029,4501292.004,3.1e-05,5556.00003,2.719353912545939,0
46,46,BN36,OSS2,BN36,turbine,-70.49818434,40.70282573,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0029,4506848.004,11112.00002,11112.00004,4.2457113669233575,0
47,47,BM36,OSS2,BM36,turbine,-70.49855829,40.71950411,8.0,1.0,8.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4508700.004,11112.00002,12963.99998,1.955999060979732,0
48,48,BL37,OSS2,BL37,turbine,-70.4770061,40.7364652,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0056,4510552.009,12964.0028,14816.00477,2.719418034989072,0
49,49,BK38,OSS2,BK38,turbine,-70.45544304,40.75342232,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0028,4512404.005,14815.99998,16668.00006,2.71941422332381,0
50,50,BJ39,OSS2,BJ39,turbine,-70.43386895,40.77037563,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4514256.009,16668.00279,18520.00477,2.719432364968821,0
51,51,BM37,OSS2,BM37,turbine,-70.47663735,40.71978667,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4508700.004,12963.99998,12964.00001,6.781323801114164,0
52,52,BL38,OSS2,BL38,turbine,-70.45507938,40.73674376,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,377138.0056,4510552.009,14816.00279,14816.00472,2.719430254574109,0
53,53,BL39,OSS2,BL39,turbine,-70.43315239,40.73701811,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0028,4510552.004,16667.99996,14816.00004,1.948868469759168,0
54,54,BK39,OSS2,BK39,turbine,-70.4335105,40.75369692,9.0,3.0,9.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,378990.0056,4512404.009,16668.0028,16668.00477,1.9560244092351884,0
