Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
39,952,OSS2,952,turbine,39.23506263,-74.18178065,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570616.5066,4343181.198,5779.790142,9824.02816,1.1576854667905958,0
40,1090,OSS3,1090,turbine,39.29648341,-73.96771078,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,589014.4535,4350186.392,24177.737,16829.222,1.1576633131179648,0
41,993,OSS1,993,turbine,39.27687176,-74.12024163,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575882.6329,4347870.898,11045.91646,14513.72854,1.1576735426003215,0
42,969,OSS2,969,turbine,39.25185182,-74.18277616,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570513.7738,4345043.653,5677.057362,11686.48373,1.917560143671371,0
43,1091,OSS3,1091,turbine,39.29810864,-73.95499622,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,590108.7719,4350379.35,25272.0554,17022.18,1.157660208160185,0
44,994,OSS1,994,turbine,39.27851374,-74.10753383,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576976.9514,4348063.856,12140.23488,14706.68643,1.157671181532634,0
45,970,OSS2,970,turbine,39.25350069,-74.17007423,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571608.0922,4345236.611,6771.375753,11879.44157,1.157684203051087,0
46,1089,OSS3,1089,turbine,39.28131833,-73.95405467,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,590211.5046,4348516.895,25374.7881,15159.725,1.1576573259922092,0
47,995,OSS1,995,turbine,39.28015432,-74.09482547,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578071.2697,4348256.814,13234.55326,14899.64424,1.1576678289073266,0
48,1088,OSS3,1088,turbine,39.27969316,-73.9667662,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,589117.1862,4348323.937,24280.4697,14966.767,1.1576553337274271,0
49,1010,OSS1,1010,turbine,39.28543005,-74.18476841,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570308.3083,4348768.565,5471.59182,15411.39484,2.821095480124717,0
50,955,OSS2,955,turbine,39.24000486,-74.14368218,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573899.4617,4343760.071,9062.745209,10402.90178,0.6032268026654576,0
51,1001,OSS3,1001,turbine,39.28996852,-74.0185634,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584637.18,4349414.561,19800.4635,16057.391,1.7121845173216863,0
52,944,OSS2,944,turbine,39.23306187,-74.06650192,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580568.1047,4343055.363,15731.38822,9698.19341,6.740557579326888,0
53,1009,OSS1,1009,turbine,39.28377964,-74.19747581,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569213.99,4348575.607,4377.273521,15218.43695,1.1576855062582865,0
54,982,OSS3,982,turbine,39.27317851,-74.01760673,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584739.9127,4347552.106,19903.1962,14194.936,1.157675666624048,0
55,945,OSS2,945,turbine,39.23469808,-74.05380091,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581662.4231,4343248.321,16825.70664,9891.15119,1.1576633131179648,0
